City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Thompson,CA,60.96,broken clouds,55.74,-97.86,Burntwood Hotel
3,Avarua,CK,77.05,few clouds,-21.21,-159.78,Paradise Inn
5,Vaini,TO,69.96,broken clouds,-21.20,-175.20,Keleti Beach Resort
8,Esperance,AU,58.84,clear sky,-33.87,121.90,Hospitality Esperance
9,Isangel,VU,78.91,scattered clouds,-19.55,169.27,Tanna Lodge
10,Aklavik,CA,59.83,overcast clouds,68.22,-135.01,Aklavik Inn
14,Blackwater,AU,77.05,clear sky,-23.58,148.88,Blackwater Motor Inn
15,Jamestown,US,67.71,broken clouds,42.10,-79.24,Hampton Inn & Suites Jamestown
18,Fortuna,US,68.18,scattered clouds,40.60,-124.16,Super 8 by Wyndham Fortuna
24,Ginir,ET,56.62,overcast clouds,7.13,40.70,Sura Dare Village
25,Namibe,AO,64.11,clear sky,-15.20,12.15,Hotel Chik Chik Namibe
27,Atuona,PF,77.95,clear sky,-9.80,-139.03,Villa Enata
28,Yellowknife,CA,59.56,scattered clouds,62.46,-114.35,The Explorer Hotel
29,Pisco,PE,62.02,clear sky,-13.70,-76.22,Hotel San Isidro Oficial
30,Mumford,GH,74.61,overcast clouds,5.26,-0.76,Spanish Villa
32,Tamandare,BR,73.31,clear sky,-8.76,-35.10,Pousada 100 Passos
35,Redondela,ES,63.59,clear sky,42.28,-8.61,Rua do Medio
37,Nikolskoye,RU,67.8,overcast clouds,59.70,30.79,Tourist House - Sablino
38,Torbay,CA,65.68,overcast clouds,47.67,-52.73,Gallows Cove
41,Shalinskoye,RU,61.18,overcast clouds,55.72,93.76,Belaya Sova
42,Dogondoutchi,NE,77.59,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
43,Hobart,AU,57.25,light rain,-42.88,147.33,Mantra on Collins Hobart
44,Barcelos,PT,62.85,clear sky,41.54,-8.62,Hotel Do Terço
45,Hilo,US,78.53,light rain,19.73,-155.09,Hilo Hawaiian Hotel
47,Khandyga,RU,71.1,scattered clouds,62.67,135.60,Apel'sin
52,Ambilobe,MG,66.16,clear sky,-13.20,49.05,Hôtel & Restaurant DIANA Ambilobe
53,Kodiak,US,57.15,overcast clouds,57.79,-152.41,Best Western Kodiak Inn And Convention Center
54,Brae,GB,55.31,broken clouds,60.40,-1.35,Busta House Hotel
55,Kapuskasing,CA,55.49,broken clouds,49.42,-82.43,Park Inn Motel
61,Port-Gentil,GA,75.31,scattered clouds,-0.72,8.78,Fengshui Residence
69,Vao,NC,68.67,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
70,Maloyaroslavets,RU,62.69,light rain,55.01,36.47,FOREST hotel
71,Kabanjahe,ID,74.16,broken clouds,3.10,98.49,Kos-Kosan wanita muslim bagoes kabanjahe
72,Rikitea,PF,74.52,overcast clouds,-23.12,-134.97,People ThankYou
