City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rafai,CF,4.95,23.9167,69.21,87,98,1.25,overcast clouds
1,Thompson,CA,55.7435,-97.8558,60.96,77,75,0.0,broken clouds
2,Tual,ID,-5.6667,132.75,80.98,82,99,12.8,overcast clouds
3,Avarua,CK,-21.2078,-159.775,77.05,65,16,3.44,few clouds
4,Calama,CL,-22.4667,-68.9333,34.29,12,1,16.11,clear sky
5,Vaini,TO,-21.2,-175.2,69.96,78,75,10.36,broken clouds
6,Mataura,NZ,-46.1927,168.8643,52.48,85,83,1.77,broken clouds
7,Ilulissat,GL,69.2167,-51.1,46.33,78,100,7.78,overcast clouds
8,Esperance,AU,-33.8667,121.9,58.84,49,4,18.95,clear sky
9,Isangel,VU,-19.55,169.2667,78.91,53,40,11.5,scattered clouds
10,Aklavik,CA,68.2191,-135.0107,59.83,73,99,11.61,overcast clouds
11,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,10.36,broken clouds
12,Fukue,JP,32.6881,128.8419,89.96,66,20,6.91,few clouds
13,Bluff,NZ,-46.6,168.3333,52.81,72,36,3.06,scattered clouds
14,Blackwater,AU,-23.5833,148.8833,77.05,37,0,8.81,clear sky
15,Jamestown,US,42.097,-79.2353,67.71,88,75,2.62,broken clouds
16,Amahai,ID,-3.3333,128.9167,82.63,78,84,5.46,broken clouds
17,Teya,RU,60.3778,92.6267,62.2,60,100,7.16,overcast clouds
18,Fortuna,US,40.5982,-124.1573,68.18,93,40,0.0,scattered clouds
19,Khatanga,RU,71.9667,102.5,87.49,35,9,18.14,clear sky
20,Lebu,CL,-37.6167,-73.65,44.2,82,0,17.94,clear sky
21,Zhangjiakou,CN,40.81,114.8794,81.21,57,100,9.15,overcast clouds
22,Kavieng,PG,-2.5744,150.7967,84.07,73,14,6.91,light rain
23,Chuy,UY,-33.6971,-53.4616,43.77,78,60,15.05,broken clouds
24,Ginir,ET,7.1333,40.7,56.62,78,90,9.33,overcast clouds
25,Namibe,AO,-15.1961,12.1522,64.11,82,0,5.77,clear sky
26,Crestview,US,30.7621,-86.5705,81.25,83,65,5.57,broken clouds
27,Atuona,PF,-9.8,-139.0333,77.95,70,4,18.03,clear sky
28,Yellowknife,CA,62.456,-114.3525,59.56,51,40,0.0,scattered clouds
29,Pisco,PE,-13.7,-76.2167,62.02,82,3,3.44,clear sky
30,Mumford,GH,5.2618,-0.759,74.61,87,100,10.04,overcast clouds
31,Baykit,RU,61.67,96.37,71.83,71,100,6.62,overcast clouds
32,Tamandare,BR,-8.7597,-35.1047,73.31,89,2,7.05,clear sky
33,Saint-Georges,GD,12.0564,-61.7485,80.28,78,20,10.36,few clouds
34,Ushuaia,AR,-54.8,-68.3,38.86,93,75,3.44,broken clouds
35,Redondela,ES,42.2834,-8.6096,63.59,81,0,5.75,clear sky
36,Castro,BR,-24.7911,-50.0119,44.19,91,99,7.29,overcast clouds
37,Nikolskoye,RU,59.7035,30.7861,67.8,66,100,4.79,overcast clouds
38,Torbay,CA,47.6666,-52.7314,65.68,96,100,10.87,overcast clouds
39,Dourbali,TD,11.8091,15.8632,72.45,95,100,6.38,light rain
40,Siderno,IT,38.2779,16.302,82.35,51,0,6.02,clear sky
41,Shalinskoye,RU,55.7228,93.7594,61.18,67,100,6.26,overcast clouds
42,Dogondoutchi,NE,13.6393,4.0287,77.59,79,92,9.37,overcast clouds
43,Hobart,AU,-42.8794,147.3294,57.25,56,75,3.0,light rain
44,Barcelos,PT,41.5388,-8.6151,62.85,90,1,4.61,clear sky
45,Hilo,US,19.7297,-155.09,78.53,83,90,8.05,light rain
46,Burnie,AU,-41.0667,145.9167,50.68,81,98,20.71,light rain
47,Khandyga,RU,62.6667,135.6,71.1,36,40,14.09,scattered clouds
48,Togur,RU,58.3631,82.8265,64.74,56,91,7.56,overcast clouds
49,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,9.22,light rain
50,Nigde,TR,37.8333,34.75,56.25,76,1,9.57,clear sky
51,Dhidhdhoo,MV,6.8833,73.1,82.2,77,56,14.52,light rain
52,Ambilobe,MG,-13.2,49.05,66.16,78,1,3.15,clear sky
53,Kodiak,US,57.79,-152.4072,57.15,80,97,1.32,overcast clouds
54,Brae,GB,60.3964,-1.353,55.31,95,81,7.49,broken clouds
55,Kapuskasing,CA,49.4169,-82.4331,55.49,88,75,1.14,broken clouds
56,Bredasdorp,ZA,-34.5322,20.0403,52.92,66,100,8.05,overcast clouds
57,Paamiut,GL,61.994,-49.6678,44.28,82,77,11.14,broken clouds
58,Albany,US,42.6001,-73.9662,67.08,93,89,3.15,overcast clouds
59,Brownsville,US,25.9018,-97.4975,82.51,85,15,3.0,few clouds
60,Kapaa,US,22.0752,-159.319,84.18,71,96,4.0,light rain
61,Port-Gentil,GA,-0.7193,8.7815,75.31,80,45,9.06,scattered clouds
62,Srednekolymsk,RU,67.45,153.6833,38.26,97,100,8.59,light rain
63,Kaitangata,NZ,-46.2817,169.8464,52.93,60,62,1.07,broken clouds
64,Sabancuy,MX,18.9667,-91.1833,82.51,79,91,11.56,overcast clouds
65,Butaritari,KI,3.0707,172.7902,81.61,72,100,4.5,overcast clouds
66,Qaanaaq,GL,77.484,-69.3632,42.3,91,98,5.37,overcast clouds
67,Beloha,MG,-25.1667,45.05,62.17,78,1,11.45,clear sky
68,Akyab,MM,20.15,92.9,80.13,90,100,14.52,heavy intensity rain
69,Vao,NC,-22.6667,167.4833,68.67,61,26,15.23,scattered clouds
70,Maloyaroslavets,RU,55.0146,36.4719,62.69,88,94,3.78,light rain
71,Kabanjahe,ID,3.1001,98.4908,74.16,57,74,2.35,broken clouds
72,Rikitea,PF,-23.1203,-134.9692,74.52,79,100,14.63,overcast clouds
73,Faanui,PF,-16.4833,-151.75,77.45,76,71,7.92,light rain
74,Saldanha,ZA,-33.0117,17.9442,51.85,64,100,6.15,overcast clouds
75,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,3,2.3,clear sky
76,Sainte-Rose,GP,16.3324,-61.6979,77.04,88,20,4.61,few clouds
77,Cidreira,BR,-30.1811,-50.2056,45.81,61,4,17.56,clear sky
78,Berlevag,NO,70.8578,29.0864,47.19,85,96,6.58,overcast clouds
79,Ancud,CL,-41.8697,-73.8203,42.33,87,71,3.85,broken clouds
80,Karratha,AU,-20.7377,116.8463,78.28,48,17,8.46,few clouds
81,Harper,LR,4.375,-7.7169,76.23,75,100,8.46,overcast clouds
82,Talnakh,RU,69.4865,88.3972,59.67,88,97,6.46,light rain
83,Berezovyy,RU,51.6667,135.7,73.81,85,100,1.25,overcast clouds
84,Pueblo,US,38.2545,-104.6091,81.79,49,0,6.08,clear sky
85,Magistralnyy,RU,56.1725,107.4458,80.64,41,66,2.91,broken clouds
86,Saint-Philippe,RE,-21.3585,55.7679,67.59,90,90,17.4,light rain
87,Smirnykh,RU,49.75,142.8333,87.08,52,75,7.36,broken clouds
88,Salinas,US,36.6777,-121.6555,72.61,80,75,5.75,broken clouds
89,Witu,KE,-2.3889,40.4382,74.68,80,85,14.03,overcast clouds
90,Padang,ID,-0.9492,100.3543,83.8,74,73,4.63,broken clouds
91,Tasiilaq,GL,65.6145,-37.6368,35.83,78,22,7.2,few clouds
92,Chokurdakh,RU,70.6333,147.9167,50.97,44,44,15.05,scattered clouds
93,Hermanus,ZA,-34.4187,19.2345,50.9,65,99,11.36,overcast clouds
94,Dingle,PH,10.9995,122.6711,87.75,65,82,17.05,broken clouds
95,Upernavik,GL,72.7868,-56.1549,48.88,76,99,6.15,overcast clouds
96,Lagoa,PT,39.05,-27.9833,69.57,91,79,7.67,broken clouds
97,Yarkovo,RU,57.4028,67.0786,55.09,82,98,3.71,overcast clouds
98,Lima,PE,-12.0432,-77.0282,60.13,94,90,13.8,overcast clouds
99,Nanortalik,GL,60.1432,-45.2371,43.63,85,100,3.53,overcast clouds
100,Yangambi,CD,0.8102,24.4336,72.54,77,94,1.86,overcast clouds
101,Flinders,AU,-34.5833,150.8552,73.18,42,74,8.99,broken clouds
102,Nome,US,64.5011,-165.4064,51.87,87,90,18.41,light rain
103,Touros,BR,-5.1989,-35.4608,74.3,89,12,11.18,few clouds
104,Millau,FR,44.0833,2.9167,62.38,98,96,2.26,light rain
105,Taoudenni,ML,22.6783,-3.9836,95.92,14,68,9.78,broken clouds
106,Trinidad,BO,-14.8333,-64.9,63.48,31,49,9.37,scattered clouds
107,Bethel,US,41.3712,-73.414,72.91,87,93,1.01,overcast clouds
108,Piopio,NZ,-38.4667,175.0167,59.95,81,58,5.28,broken clouds
109,Broome,US,42.2506,-75.833,66.58,98,75,1.99,broken clouds
110,Severo-Kurilsk,RU,50.6789,156.125,59.11,89,100,6.44,overcast clouds
111,Synya,RU,65.3718,58.0387,41.52,98,100,10.92,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,81.05,77,69,9.24,broken clouds
113,Nouadhibou,MR,20.931,-17.0347,68.04,92,13,23.69,few clouds
114,Morondava,MG,-20.2833,44.2833,64.0,60,0,11.05,clear sky
115,Akcakoca,TR,41.0866,31.1162,72.09,67,0,3.47,clear sky
116,Kruisfontein,ZA,-34.0033,24.7314,52.88,85,23,10.36,few clouds
117,Waddan,LY,29.1614,16.139,73.76,60,0,1.63,clear sky
