City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-07-25 16:00:11,-23.1203,-134.9692,69.89,65,96,4.07
1,Omboue,GA,2021-07-25 16:04:33,-1.5746,9.2618,76.35,70,78,11.1
2,Tofte,NO,2021-07-25 16:04:33,59.5428,10.5614,87.12,46,82,7.05
3,Nikolskoye,RU,2021-07-25 16:04:34,59.7035,30.7861,71.78,46,68,5.68
4,Kidal,ML,2021-07-25 16:04:34,18.4411,1.4078,103.96,20,61,10.96
5,Lompoc,US,2021-07-25 16:04:34,34.6391,-120.4579,69.1,86,90,0.0
6,Cap Malheureux,MU,2021-07-25 16:01:21,-19.9842,57.6142,71.47,61,0,8.99
7,Bluff,NZ,2021-07-25 16:04:35,-46.6,168.3333,48.79,83,100,5.21
8,La Ronge,CA,2021-07-25 16:04:35,55.1001,-105.2842,59.05,76,99,3.58
9,Ponta Do Sol,PT,2021-07-25 16:04:36,32.6667,-17.1,81.72,70,3,4.09
10,Souillac,MU,2021-07-25 16:01:10,-20.5167,57.5167,71.37,59,1,15.88
11,Qaanaaq,GL,2021-07-25 16:04:36,77.484,-69.3632,39.18,71,85,6.26
12,Butaritari,KI,2021-07-25 16:04:37,3.0707,172.7902,81.68,77,11,10.74
13,Half Moon Bay,US,2021-07-25 16:04:37,37.4636,-122.4286,71.96,83,90,1.01
14,Ushuaia,AR,2021-07-25 16:04:38,-54.8,-68.3,38.86,70,20,11.5
15,Vaini,TO,2021-07-25 16:04:38,-21.2,-175.2,68.16,94,20,2.3
16,Pevek,RU,2021-07-25 16:04:38,69.7008,170.3133,34.7,91,100,9.98
17,Saldanha,ZA,2021-07-25 16:04:39,-33.0117,17.9442,62.13,52,100,13.02
18,Kavieng,PG,2021-07-25 16:04:39,-2.5744,150.7967,81.07,77,59,3.09
19,Mingaora,PK,2021-07-25 16:04:40,34.7758,72.3625,84.36,61,13,2.35
20,Carnarvon,AU,2021-07-25 16:04:40,-24.8667,113.6333,64.98,67,0,11.25
21,Punta Arenas,CL,2021-07-25 16:03:43,-53.15,-70.9167,35.11,65,84,15.57
22,Tucuman,AR,2021-07-25 16:04:41,-26.8241,-65.2226,74.62,28,0,6.35
23,Pangnirtung,CA,2021-07-25 16:04:41,66.1451,-65.7125,50.14,92,100,6.93
24,Scalea,IT,2021-07-25 16:04:42,39.813,15.7956,100.35,49,7,2.95
25,Leningradskiy,RU,2021-07-25 16:04:42,69.3833,178.4167,36.97,91,100,4.05
26,Chuy,UY,2021-07-25 16:04:43,-33.6971,-53.4616,65.43,83,89,10.65
27,Bambous Virieux,MU,2021-07-25 16:04:43,-20.3428,57.7575,70.21,60,2,15.88
28,Arlit,NE,2021-07-25 16:04:43,18.7369,7.3853,107.33,10,2,7.07
29,Mehamn,NO,2021-07-25 16:04:44,71.0357,27.8492,48.38,76,40,17.27
30,Tiarei,PF,2021-07-25 16:04:44,-17.5333,-149.3333,69.82,67,2,9.55
31,Golden,US,2021-07-25 16:04:44,39.7555,-105.2211,85.57,45,35,3.83
32,Hobart,AU,2021-07-25 16:00:10,-42.8794,147.3294,43.02,75,40,19.57
33,Mataura,NZ,2021-07-25 16:04:45,-46.1927,168.8643,48.47,88,100,4.63
34,East London,ZA,2021-07-25 16:04:45,-33.0153,27.9116,63.91,56,8,11.43
35,Port Pirie,AU,2021-07-25 16:04:46,-33.1833,138.0167,50.77,82,17,9.71
36,Norman Wells,CA,2021-07-25 16:04:47,65.282,-126.8329,61.34,46,85,4.05
37,Nanortalik,GL,2021-07-25 16:04:48,60.1432,-45.2371,45.21,75,100,12.48
38,Davila,PH,2021-07-25 16:04:48,18.4726,120.5763,81.97,88,100,25.61
39,Pazaric,BA,2021-07-25 16:04:49,43.7886,18.1608,89.42,32,0,8.05
40,Paamiut,GL,2021-07-25 16:04:50,61.994,-49.6678,44.51,69,98,7.78
41,Puerto Ayora,EC,2021-07-25 16:04:51,-0.7393,-90.3518,73.54,83,38,13.0
42,Oranjemund,NA,2021-07-25 16:04:51,-28.55,16.4333,68.49,29,100,4.12
43,Karasuyama,JP,2021-07-25 16:04:52,36.65,140.15,72.27,91,18,0.87
44,Tarauaca,BR,2021-07-25 16:04:52,-8.1614,-70.7656,91.99,42,33,1.61
45,Sabha,LY,2021-07-25 16:04:53,27.0377,14.4283,95.54,14,0,11.48
46,Bulakamba,ID,2021-07-25 16:04:53,-6.8748,108.9559,75.47,78,1,4.94
47,Fleetwood,GB,2021-07-25 16:04:53,53.9253,-3.0109,76.08,68,20,17.27
48,Dunedin,NZ,2021-07-25 16:04:54,-45.8742,170.5036,49.8,66,100,8.99
49,Cabo San Lucas,MX,2021-07-25 16:04:54,22.8909,-109.9124,92.61,51,1,2.3
50,Jamestown,US,2021-07-25 16:04:44,42.097,-79.2353,81.72,69,75,8.05
51,Busselton,AU,2021-07-25 16:04:55,-33.65,115.3333,58.08,67,39,18.77
52,Eydhafushi,MV,2021-07-25 16:04:55,5.1033,73.0708,82.17,74,100,18.1
53,Bathurst,AU,2021-07-25 16:04:56,-33.4166,149.5806,42.96,84,89,1.01
54,Ilulissat,GL,2021-07-25 16:04:56,69.2167,-51.1,53.62,40,40,12.66
55,Verkhnevilyuysk,RU,2021-07-25 16:04:57,63.4453,120.3167,62.44,57,1,4.99
56,Westport,US,2021-07-25 16:00:48,41.1415,-73.3579,76.44,88,98,14.14
57,Albany,US,2021-07-25 16:00:12,42.6001,-73.9662,74.41,82,97,5.41
58,Grindavik,IS,2021-07-25 16:04:58,63.8424,-22.4338,53.56,82,75,29.93
59,Khandyga,RU,2021-07-25 16:04:58,62.6667,135.6,55.85,95,92,5.99
60,Hambantota,LK,2021-07-25 16:04:59,6.1241,81.1185,80.94,94,75,10.36
61,Samfya,ZM,2021-07-25 16:04:59,-11.3649,29.5565,64.85,37,5,13.24
62,Northam,GB,2021-07-25 16:04:59,51.0333,-4.2167,75.2,75,96,8.48
63,Avarua,CK,2021-07-25 16:05:00,-21.2078,-159.775,71.65,94,90,2.3
64,Kununurra,AU,2021-07-25 16:05:00,-15.7667,128.7333,64.38,72,28,3.44
65,Port Elizabeth,ZA,2021-07-25 16:01:29,-33.918,25.5701,60.1,48,28,3.36
66,Beringovskiy,RU,2021-07-25 16:05:01,63.05,179.3167,51.87,89,98,3.78
67,Atuona,PF,2021-07-25 16:05:01,-9.8,-139.0333,78.33,65,50,23.58
68,Thompson,CA,2021-07-25 16:01:33,55.7435,-97.8558,59.77,34,92,9.69
69,Praia Da Vitoria,PT,2021-07-25 16:05:02,38.7333,-27.0667,70.86,82,76,13.24
70,Banikoara,BJ,2021-07-25 16:05:03,11.2985,2.4386,84.22,63,92,6.78
71,Saint-Philippe,RE,2021-07-25 16:05:04,-21.3585,55.7679,69.35,77,37,11.81
72,Vesele,UA,2021-07-25 16:05:04,47.0148,34.915,81.5,44,15,7.36
73,Tura,IN,2021-07-25 16:05:05,25.5198,90.2201,76.98,93,100,5.68
74,Hermanus,ZA,2021-07-25 16:05:05,-34.4187,19.2345,60.8,56,100,5.08
75,Esmeraldas,BR,2021-07-25 16:05:06,-19.7625,-44.3139,74.26,27,0,7.63
76,Sulecin,PL,2021-07-25 16:05:06,52.4443,15.1168,85.08,59,83,8.21
77,Trapani,IT,2021-07-25 16:05:07,37.8333,12.6667,90.52,31,3,17.9
78,Zhigansk,RU,2021-07-25 16:05:07,66.7697,123.3711,58.87,61,51,5.66
79,Sakakah,SA,2021-07-25 16:05:07,29.9697,40.2064,104.68,14,1,9.06
80,Georgetown,MY,2021-07-25 16:01:27,5.4112,100.3354,84.88,76,20,0.0
81,Puerto Madero,MX,2021-07-25 16:05:08,14.7208,-92.4215,89.8,70,20,0.0
82,Tulum,MX,2021-07-25 16:00:16,20.2167,-87.4667,83.93,53,71,2.15
83,Port Lincoln,AU,2021-07-25 16:00:17,-34.7333,135.8667,55.33,86,16,17.18
84,Nizwa,OM,2021-07-25 16:05:09,22.9333,57.5333,86.65,54,66,4.52
85,Gweta,BW,2021-07-25 16:05:09,-20.1833,25.2333,62.58,28,0,10.33
